Problem,Alpha,Beta,DepthCut,NodesProcessed,NumSols,NumberofGeneratedSolutions,PercentNearOptimal,SolCut,Time(ms),diversity,nodeType,,,,,,,,,,,,
gen(100),0.01,0.07,0,0,100,101,0.01,0.2,1979.449707,0.171766,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.07,0,0,100,101,0.01,0.3,1575.534424,0.191626,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.07,0,0,100,101,0.01,0.4,1610.693604,0.186125,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.07,0,0,100,101,0.01,0.5,1317.248047,0.169181,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.07,0,0,100,101,0.01,0.6,1257.840332,0.169678,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.07,0,0,100,101,0.01,0.7,999.636658,0.167717,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.07,0,0,100,101,0.01,0.8,813.130676,0.168,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.07,0,0,100,101,0.01,0.9,604.990784,0.161944,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.08,0,0,100,101,0.01,0,2125.499023,0.167324,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.08,0,0,100,101,0.01,0.01,2151.765137,0.167324,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.08,0,0,100,101,0.01,0.02,2128.06543,0.167324,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.08,0,0,100,101,0.01,0.03,1712.09314,0.185517,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.08,0,0,100,101,0.01,0.04,2127.834229,0.167324,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.08,0,0,100,101,0.01,0.05,2120.980225,0.167324,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.08,0,0,100,101,0.01,0.06,2143.708984,0.167324,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.08,0,0,100,101,0.01,0.07,2128.865479,0.167324,DiversiTree,,,,,,,,,,,,
